,transaction_id,customer_id,quantity,average_trade_size,stock_price,total_trade_amount
count,500.0,500.0,500.0,500.0,500.0,500.0
mean,4974.786,3024.128,215.082,196.14074,4.392907115365109,31199.499994267153
std,2871.641071075244,1680.3522341692992,269.66531486285027,37.31046697569314,1.0787721897303872,71072.27991618667
min,4.0,4.0,6.0,139.4,1.9147107659841,207.873345691289
25%,2605.75,1513.0,61.75,172.2825,3.829170726004721,3467.634874013864
50%,5076.0,3588.0,121.5,200.79000000000002,4.761899387900115,11109.680513184763
75%,7513.5,4747.0,269.0,212.765,5.039655330822932,27705.304134950784
max,9931.0,4990.0,1746.0,254.21,6.386379032377428,683711.0020213233
